unique_id,cutoff,metric,lgbm,tabpfn
hotel_0,2023-01-13,mae,0.11476143733054703,0.11876930714284299
hotel_105,2023-01-13,mae,0.09907153111965951,0.096518118761192
hotel_112,2023-01-13,mae,0.06815713651850544,0.06643212863377161
hotel_126,2023-01-13,mae,0.12304428967940982,0.1140211631051505
hotel_133,2023-01-13,mae,0.10962167956856568,0.09273507995683639
hotel_14,2023-01-13,mae,0.07741022428754847,0.0879260873135852
hotel_21,2023-01-13,mae,0.03236291420881648,0.03244884249079164
hotel_35,2023-01-13,mae,0.08121094012614234,0.09348642826080322
hotel_42,2023-01-13,mae,0.144000344972429,0.12480427750519343
hotel_49,2023-01-13,mae,0.05749377567868134,0.05041626235208731
hotel_56,2023-01-13,mae,0.08799596082279806,0.103880503206026
hotel_63,2023-01-13,mae,0.13789648350047795,0.1623683050605986
hotel_7,2023-01-13,mae,0.07840939628225561,0.04120608048904436
hotel_70,2023-01-13,mae,0.05051064705330155,0.047127003256315574
hotel_84,2023-01-13,mae,0.21300242979316214,0.2206762757702918
hotel_91,2023-01-13,mae,0.17857408626394822,0.17103593093290756
hotel_98,2023-01-13,mae,0.04541226863456632,0.04586636170332882
hotel_0,2023-02-10,mae,0.09785518893508076,0.09838035255933353
hotel_105,2023-02-10,mae,0.05974517756559759,0.06283189397830742
hotel_112,2023-02-10,mae,0.09211050933862329,0.09394186053957258
hotel_126,2023-02-10,mae,0.09162982787397009,0.09300886981685393
hotel_133,2023-02-10,mae,0.13877372256944034,0.135478285213265
hotel_14,2023-02-10,mae,0.0605614770170685,0.055799594746445705
hotel_21,2023-02-10,mae,0.01687891642144247,0.015104660123744321
hotel_35,2023-02-10,mae,0.14518967141924646,0.16139270897422517
hotel_42,2023-02-10,mae,0.16143091537432758,0.15030794295316974
hotel_49,2023-02-10,mae,0.12972086339765626,0.1256843416562916
hotel_56,2023-02-10,mae,0.04325477369090851,0.034731042101269684
hotel_63,2023-02-10,mae,0.1412703201675032,0.14537536864242856
hotel_7,2023-02-10,mae,0.15563163363491753,0.06826196531533306
hotel_70,2023-02-10,mae,0.2265100364998766,0.24198100099662193
hotel_84,2023-02-10,mae,0.10021896758295366,0.1010073020472364
hotel_91,2023-02-10,mae,0.11766682799232643,0.11093071619733377
hotel_98,2023-02-10,mae,0.09023587433427994,0.07427041088381123
hotel_0,2023-03-10,mae,0.10248760378442703,0.09735664081426311
hotel_105,2023-03-10,mae,0.09609350071473917,0.08860516953821775
hotel_112,2023-03-10,mae,0.08395728097453278,0.08630527768816267
hotel_126,2023-03-10,mae,0.045642031400452386,0.042569058494060376
hotel_133,2023-03-10,mae,0.06600504545674528,0.06476043792882065
hotel_14,2023-03-10,mae,0.0721859843127635,0.0715138142843131
hotel_21,2023-03-10,mae,0.019247461492518582,0.0154574969142833
hotel_35,2023-03-10,mae,0.14995853758462177,0.1946220717259816
hotel_42,2023-03-10,mae,0.19980808121987037,0.19568948910510767
hotel_49,2023-03-10,mae,0.08330276519475821,0.0829809007426016
hotel_56,2023-03-10,mae,0.07328548021989635,0.056844564278920484
hotel_63,2023-03-10,mae,0.09805415482397382,0.08899846907645936
hotel_7,2023-03-10,mae,0.2589325253890555,0.1496104313682101
hotel_70,2023-03-10,mae,0.1502612530388577,0.14091984352521728
hotel_84,2023-03-10,mae,0.14496616625406403,0.14518543168924494
hotel_91,2023-03-10,mae,0.13928979753780468,0.1513065443662732
hotel_98,2023-03-10,mae,0.05906649892765621,0.04336696420259739
hotel_0,2023-04-07,mae,0.19765880351477447,0.17062413783142807
hotel_105,2023-04-07,mae,0.05997093156706538,0.059591105363439686
hotel_112,2023-04-07,mae,0.07557015337880665,0.08278542288712092
hotel_126,2023-04-07,mae,0.05048707149104343,0.048933430785269794
hotel_133,2023-04-07,mae,0.062148826874069286,0.06900750076184507
hotel_14,2023-04-07,mae,0.14153334866312536,0.13269599454823852
hotel_21,2023-04-07,mae,0.03514304721384799,0.028410604312306357
hotel_35,2023-04-07,mae,0.20733269874027682,0.3192536873476846
hotel_42,2023-04-07,mae,0.11676143138793384,0.12078752010595324
hotel_49,2023-04-07,mae,0.16579008065340184,0.15513047530401222
hotel_56,2023-04-07,mae,0.08445685443679961,0.07590532714412325
hotel_63,2023-04-07,mae,0.12529527101725016,0.12976219932238262
hotel_7,2023-04-07,mae,0.14184851754573208,0.1052653292768664
hotel_70,2023-04-07,mae,0.15532357108565192,0.12955694582154578
hotel_84,2023-04-07,mae,0.09788626872335178,0.08575160573068612
hotel_91,2023-04-07,mae,0.1419414265373606,0.15054272866268217
hotel_98,2023-04-07,mae,0.10670920848422523,0.07473059402014803
hotel_0,2023-05-05,mae,0.13192581845011644,0.11847984412359813
hotel_105,2023-05-05,mae,0.06609906902748962,0.06213762052189843
hotel_112,2023-05-05,mae,0.08738251544042853,0.07390374498707908
hotel_126,2023-05-05,mae,0.0726029269998567,0.07559161638765764
hotel_133,2023-05-05,mae,0.03825880198591613,0.04188085973821144
hotel_14,2023-05-05,mae,0.10224038429396205,0.08844036265524892
hotel_21,2023-05-05,mae,0.04594237448939783,0.04769808542791498
hotel_35,2023-05-05,mae,0.07559315790100585,0.08198402183396476
hotel_42,2023-05-05,mae,0.1647784807847561,0.15714976989150806
hotel_49,2023-05-05,mae,0.14897997683719383,0.14453419224032002
hotel_56,2023-05-05,mae,0.11930392493348792,0.12895572114558446
hotel_63,2023-05-05,mae,0.11748369671013101,0.11087047072630081
hotel_7,2023-05-05,mae,0.10890638941972246,0.10527916534826777
hotel_70,2023-05-05,mae,0.15056539479101788,0.12750760097999622
hotel_84,2023-05-05,mae,0.08474774255272408,0.08232442575018417
hotel_91,2023-05-05,mae,0.08000538241656407,0.08106986097214118
hotel_98,2023-05-05,mae,0.16266673409681148,0.12078964941993287
hotel_0,2023-01-13,rmse,0.13800688170883063,0.1408156472571955
hotel_105,2023-01-13,rmse,0.11442818181334317,0.11235481259786308
hotel_112,2023-01-13,rmse,0.0802969538287185,0.08193776480560372
hotel_126,2023-01-13,rmse,0.14982802038688461,0.13788205900770162
hotel_133,2023-01-13,rmse,0.14162782552212136,0.12704014768518238
hotel_14,2023-01-13,rmse,0.0951137423196704,0.10936928323722143
hotel_21,2023-01-13,rmse,0.03875361826387443,0.03913216082317511
hotel_35,2023-01-13,rmse,0.10057967557644112,0.11731072193819872
hotel_42,2023-01-13,rmse,0.16748077204289022,0.15378592282898143
hotel_49,2023-01-13,rmse,0.07069999414650248,0.06354418966955191
hotel_56,2023-01-13,rmse,0.10080298943046487,0.12293274985897597
hotel_63,2023-01-13,rmse,0.17111110683379324,0.19181508101290995
hotel_7,2023-01-13,rmse,0.0968226307207602,0.05270531351377054
hotel_70,2023-01-13,rmse,0.05843103812031626,0.0549986968308852
hotel_84,2023-01-13,rmse,0.2643714060458742,0.2938510208267813
hotel_91,2023-01-13,rmse,0.22225974857785574,0.2081121041851517
hotel_98,2023-01-13,rmse,0.05541790869622042,0.0625600517352478
hotel_0,2023-02-10,rmse,0.11966313764051129,0.12026747056568735
hotel_105,2023-02-10,rmse,0.08117921413491645,0.08432823719470808
hotel_112,2023-02-10,rmse,0.12152486513354083,0.12264939051671543
hotel_126,2023-02-10,rmse,0.11262528920877568,0.12127953617059783
hotel_133,2023-02-10,rmse,0.19746244887363365,0.19733447637959572
hotel_14,2023-02-10,rmse,0.07847610892483424,0.07230523166371228
hotel_21,2023-02-10,rmse,0.021946081054384576,0.022408295085362556
hotel_35,2023-02-10,rmse,0.1669328382516147,0.17879490260062572
hotel_42,2023-02-10,rmse,0.2016076940946994,0.17709397832560672
hotel_49,2023-02-10,rmse,0.13518011554987377,0.13013324742444907
hotel_56,2023-02-10,rmse,0.04956467873530503,0.03951375431871219
hotel_63,2023-02-10,rmse,0.1787519806003699,0.18967574203670942
hotel_7,2023-02-10,rmse,0.20155354262873212,0.08122233350768977
hotel_70,2023-02-10,rmse,0.23892984788487423,0.2532045872384548
hotel_84,2023-02-10,rmse,0.12477233731495872,0.12359216530148306
hotel_91,2023-02-10,rmse,0.13667036702561058,0.12658814487977532
hotel_98,2023-02-10,rmse,0.11068273205590183,0.09510036477730512
hotel_0,2023-03-10,rmse,0.12815789083223136,0.1281537589549547
hotel_105,2023-03-10,rmse,0.10712262594345584,0.10232138905083274
hotel_112,2023-03-10,rmse,0.09730280252815686,0.10127607991566669
hotel_126,2023-03-10,rmse,0.056579145909677976,0.052123317125315066
hotel_133,2023-03-10,rmse,0.08306065130403303,0.0762293440099162
hotel_14,2023-03-10,rmse,0.0873618149495887,0.08594726805061834
hotel_21,2023-03-10,rmse,0.024281343386323893,0.018671443352738962
hotel_35,2023-03-10,rmse,0.17258730294082272,0.22871319922226566
hotel_42,2023-03-10,rmse,0.25901265745150054,0.24814077065473358
hotel_49,2023-03-10,rmse,0.09175194052220692,0.09083623043344657
hotel_56,2023-03-10,rmse,0.09076265698092385,0.0733208059643989
hotel_63,2023-03-10,rmse,0.12186928793594382,0.11514773775989384
hotel_7,2023-03-10,rmse,0.3038446110693421,0.1903023137543737
hotel_70,2023-03-10,rmse,0.1754223600705415,0.16479269147513767
hotel_84,2023-03-10,rmse,0.18919363970320419,0.1875850920739606
hotel_91,2023-03-10,rmse,0.16777963801328813,0.18177568970410005
hotel_98,2023-03-10,rmse,0.08214206429589611,0.059210290172614796
hotel_0,2023-04-07,rmse,0.24141923271274066,0.2133117765416975
hotel_105,2023-04-07,rmse,0.07256832784350443,0.07404016930022123
hotel_112,2023-04-07,rmse,0.09667713503991476,0.10726577339628512
hotel_126,2023-04-07,rmse,0.059168885264480595,0.05728551767189046
hotel_133,2023-04-07,rmse,0.07166072014625488,0.07912399525363467
hotel_14,2023-04-07,rmse,0.15652982428161033,0.1473103399214633
hotel_21,2023-04-07,rmse,0.046388695884810593,0.04117820757357217
hotel_35,2023-04-07,rmse,0.23618313417541192,0.34517419906128666
hotel_42,2023-04-07,rmse,0.14818167511777053,0.16278203448356396
hotel_49,2023-04-07,rmse,0.1896982150727883,0.18153765979794137
hotel_56,2023-04-07,rmse,0.10043094778684743,0.09091738442103385
hotel_63,2023-04-07,rmse,0.16586681778664367,0.1755945941687038
hotel_7,2023-04-07,rmse,0.15968940412500118,0.11419533887305663
hotel_70,2023-04-07,rmse,0.18752912028461438,0.17055551659339355
hotel_84,2023-04-07,rmse,0.11838699444702505,0.10346295848257808
hotel_91,2023-04-07,rmse,0.16994663261624268,0.18067110530753863
hotel_98,2023-04-07,rmse,0.1274932050507102,0.11040303492060398
hotel_0,2023-05-05,rmse,0.17528339359443426,0.15537584944390165
hotel_105,2023-05-05,rmse,0.08643604976362847,0.08082776389104329
hotel_112,2023-05-05,rmse,0.10135761315407435,0.08647414389100574
hotel_126,2023-05-05,rmse,0.09026251983827296,0.09482173019642774
hotel_133,2023-05-05,rmse,0.05041221791503212,0.05714902463716362
hotel_14,2023-05-05,rmse,0.12324831198991486,0.09992857440452098
hotel_21,2023-05-05,rmse,0.060423794682295744,0.0628911544820485
hotel_35,2023-05-05,rmse,0.09037334864726887,0.09603265853737172
hotel_42,2023-05-05,rmse,0.19772110949342098,0.1815788610485995
hotel_49,2023-05-05,rmse,0.17111908294950223,0.16643838157317095
hotel_56,2023-05-05,rmse,0.1441903618983003,0.15449148296233373
hotel_63,2023-05-05,rmse,0.13521009495959035,0.12994670036805464
hotel_7,2023-05-05,rmse,0.13319178100358378,0.12551808180985868
hotel_70,2023-05-05,rmse,0.17464617895502194,0.15532879612924735
hotel_84,2023-05-05,rmse,0.1065875495155507,0.10405174425918726
hotel_91,2023-05-05,rmse,0.1171005380884616,0.12556993064153094
hotel_98,2023-05-05,rmse,0.17674122832417755,0.1358707001640744
